                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.55067,                0.55685,                0.94412,                0.91781,                0.60528,                0.77321,                0.63391,                0.84659,                 1.3807,                 1.2173,             0.00087019,             0.00087019,             0.00087019
                     81,                0.59914,                0.58094,                0.96232,                0.79745,                0.73578,                0.78619,                0.61901,                0.88153,                 1.1536,                 1.2592,             0.00086312,             0.00086312,             0.00086312
                     82,                0.57836,                0.55408,                0.97738,                0.96315,                0.72323,                0.82924,                0.64861,                0.86724,                 1.0551,                 1.1909,             0.00085604,             0.00085604,             0.00085604
                     83,                0.56207,                0.54523,                0.94186,                0.87123,                0.76243,                0.83636,                0.64564,                0.88096,                 0.9965,                 1.2266,             0.00084897,             0.00084897,             0.00084897
                     84,                0.57194,                0.56361,                0.96954,                0.90192,                0.71521,                0.82883,                0.65491,                0.94038,                 1.0168,                 1.3093,              0.0008419,              0.0008419,              0.0008419
                     85,                0.54755,                0.53765,                0.94829,                0.88081,                0.70802,                0.78825,                0.61681,                0.94538,                 1.0424,                 1.3384,             0.00083482,             0.00083482,             0.00083482
                     86,                0.55024,                 0.5183,                 0.9375,                0.89033,                0.75368,                0.82184,                0.64172,                0.89209,                0.95788,                 1.2583,             0.00082775,             0.00082775,             0.00082775
                     87,                0.56507,                0.51723,                0.96663,                 0.7939,                0.81825,                0.84448,                0.66496,                0.85037,                 1.0551,                 1.1887,             0.00082067,             0.00082067,             0.00082067
                     88,                 0.5471,                0.53453,                0.93816,                0.81612,                0.72947,                0.80217,                0.65739,                0.86297,                  1.099,                 1.1968,              0.0008136,              0.0008136,              0.0008136
                     89,                0.57176,                 0.5486,                0.95146,                0.82571,                0.74359,                0.82396,                0.65268,                0.84117,                0.94736,                 1.2067,             0.00080653,             0.00080653,             0.00080653
                     90,                0.58518,                0.55236,                 0.9584,                0.77046,                 0.7925,                0.82582,                0.64386,                0.88928,                 1.0078,                 1.2196,             0.00079945,             0.00079945,             0.00079945
                     91,                0.54772,                0.51786,                0.94531,                0.87195,                0.79347,                0.84789,                0.66197,                0.88841,                0.99475,                 1.2596,             0.00079238,             0.00079238,             0.00079238
                     92,                0.54144,                0.51417,                0.93128,                0.84565,                0.83408,                0.86881,                0.67524,                0.85305,                 0.9482,                 1.2809,             0.00078531,             0.00078531,             0.00078531
                     93,                0.52619,                0.51783,                  0.955,                0.87641,                0.75587,                0.85784,                0.65801,                0.90356,                 1.0264,                 1.2556,             0.00077823,             0.00077823,             0.00077823
